Trade #,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
10078,Exit Long,Open,,,,,,,,,,,
10078,Entry Long,Long_4133.4_0.1694_0.1298195763_0.0395804237_19_5,2023-05-12 12:32,4111.4,,,,,,,,,
10077,Exit Short,Close position order,2023-05-12 12:32,4111.4,1000,7200.00,0.17,274800.00,0.57,9800.00,0.24,600.00,0.01
10077,Entry Short,Short_4133.4_0.1694_0.1298195763_0.0395804237_19_5,2023-05-12 12:04,4118.6,1000,7200.00,0.17,274800.00,0.57,9800.00,0.24,600.00,0.01
10076,Exit Long,Close position order,2023-05-12 12:04,4118.6,1000,-3000.00,-0.07,267600.00,-0.24,3600.00,0.09,5600.00,0.14
10076,Entry Long,Long_4133.4_0.1694_0.1298195763_0.0395804237_19_5,2023-05-12 11:21,4121.6,1000,-3000.00,-0.07,267600.00,-0.24,3600.00,0.09,5600.00,0.14
10075,Exit Short,Close position order,2023-05-12 11:21,4121.6,1000,1800.00,0.04,270600.00,0.14,6600.00,0.16,400.00,0.01
10075,Entry Short,Short_4133.4_0.1694_0.1298195763_0.0395804237_19_5,2023-05-12 11:13,4123.4,1000,1800.00,0.04,270600.00,0.14,6600.00,0.16,400.00,0.01
10074,Exit Long,Close position order,2023-05-12 11:13,4123.4,1000,-16400.00,-0.4,268800.00,-1.28,2000.00,0.05,19400.00,0.47
10074,Entry Long,Long_4133.4_0.1694_0.1298195763_0.0395804237_19_5,2023-05-12 09:54,4139.8,1000,-16400.00,-0.4,268800.00,-1.28,2000.00,0.05,19400.00,0.47
10073,Exit Short,Close position order,2023-05-12 09:54,4139.8,1000,3400.00,0.08,285200.00,0.27,9000.00,0.22,1200.00,0.03
10073,Entry Short,Short_4133.4_0.1694_0.1298195763_0.0395804237_19_5,2023-05-12 09:45,4143.2,1000,3400.00,0.08,285200.00,0.27,9000.00,0.22,1200.00,0.03
10072,Exit Long,Close position order,2023-05-12 09:45,4143.2,1000,-1200.00,-0.03,281800.00,-0.09,800.00,0.02,4000.00,0.1
10072,Entry Long,Long_4133.4_0.1694_0.1298195763_0.0395804237_19_5,2023-05-12 09:33,4144.4,1000,-1200.00,-0.03,281800.00,-0.09,800.00,0.02,4000.00,0.1
10071,Exit Short,Close position order,2023-05-12 09:33,4144.4,1000,-18400.00,-0.45,283000.00,-1.41,14800.00,0.36,25600.00,0.62
10071,Entry Short,Short_4139.9_0.1693_0.1340615394_0.0352384606_19_5,2023-05-11 12:27,4126.0,1000,-18400.00,-0.45,283000.00,-1.41,14800.00,0.36,25600.00,0.62
10070,Exit Long,Close position order,2023-05-11 12:27,4126.0,1000,2200.00,0.05,301400.00,0.17,7400.00,0.18,2400.00,0.06
10070,Entry Long,Long_4139.9_0.1693_0.1340615394_0.0352384606_19_5,2023-05-11 12:14,4123.8,1000,2200.00,0.05,301400.00,0.17,7400.00,0.18,2400.00,0.06
10069,Exit Short,Close position order,2023-05-11 12:14,4123.8,1000,-9400.00,-0.23,299200.00,-0.72,5000.00,0.12,14400.00,0.35
10069,Entry Short,Short_4139.9_0.1693_0.1340615394_0.0352384606_19_5,2023-05-11 10:33,4114.4,1000,-9400.00,-0.23,299200.00,-0.72,5000.00,0.12,14400.00,0.35
10068,Exit Long,Close position order,2023-05-11 10:33,4114.4,1000,-10400.00,-0.25,308600.00,-0.79,30200.00,0.73,25000.00,0.61
10068,Entry Long,Long_4122.6_0.177_0.1375035101_0.0394964899_19_5,2023-05-10 12:13,4124.8,1000,-10400.00,-0.25,308600.00,-0.79,30200.00,0.73,25000.00,0.61
10067,Exit Short,Close position order,2023-05-10 12:13,4124.8,1000,7800.00,0.19,319000.00,0.59,12200.00,0.3,3000.00,0.07
