Trade #,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
434,Exit Short,Open,,,,,,,,,,,
434,Entry Short,Short_1185_2.1397001515_30_2,2023-04-28 11:40,4152.2,,,,,,,,,
433,Exit Long,Close position order,2023-04-28 11:40,4152.2,1000,8800.00,0.21,929300.00,0.46,12800.00,0.31,1600.00,0.04
433,Entry Long,Long_-1708_3.4136789967_75_5.4,2023-04-28 11:07,4143.4,1000,8800.00,0.21,929300.00,0.46,12800.00,0.31,1600.00,0.04
432,Exit Short,Close position order,2023-04-28 11:07,4143.4,1000,-12200.00,-0.3,920500.00,-0.63,1000.00,0.02,28000.00,0.68
432,Entry Short,Short_2839_2.0923178848_94_1,2023-04-28 09:43,4131.2,1000,-12200.00,-0.3,920500.00,-0.63,1000.00,0.02,28000.00,0.68
431,Exit Short,Stopped,2023-04-27 16:02,4148.0,1000,-40000.00,-0.97,932700.00,-2.03,800.00,0.02,40000.00,0.97
431,Entry Short,Short_131_0.8180853502_11_0.2,2023-04-27 12:47,4108.0,1000,-40000.00,-0.97,932700.00,-2.03,800.00,0.02,40000.00,0.97
430,Exit Long,Close position order,2023-04-27 12:47,4108.0,1000,1800.00,0.04,972700.00,0.09,2600.00,0.06,0,0
430,Entry Long,Long_-103_0.7833747703_7_1.6,2023-04-27 12:43,4106.2,1000,1800.00,0.04,972700.00,0.09,2600.00,0.06,0,0
429,Exit Short,Close position order,2023-04-27 12:43,4106.2,1000,-7000.00,-0.17,970900.00,-0.35,2200.00,0.05,9200.00,0.22
429,Entry Short,Short_2422_1.7492879155_27_0.2,2023-04-27 11:37,4099.2,1000,-7000.00,-0.17,970900.00,-0.35,2200.00,0.05,9200.00,0.22
428,Exit Long,Close position order,2023-04-27 11:37,4099.2,1000,7200.00,0.18,977900.00,0.37,10800.00,0.26,6000.00,0.15
428,Entry Long,Long_-219_1.6191456245_27_3.2,2023-04-27 10:55,4092.0,1000,7200.00,0.18,977900.00,0.37,10800.00,0.26,6000.00,0.15
427,Exit Short,Close position order,2023-04-27 10:55,4092.0,1000,-11800.00,-0.29,970700.00,-0.6,400.00,0.01,16800.00,0.41
427,Entry Short,Short_1182_2.1408411001_59_1,2023-04-27 09:43,4080.2,1000,-11800.00,-0.29,970700.00,-0.6,400.00,0.01,16800.00,0.41
426,Exit Long,Close position order,2023-04-27 09:43,4080.2,1000,-5400.00,-0.13,982500.00,-0.27,1500.00,0.04,35000.00,0.86
